a2cloud_score,Cost(per hour USD),Instance
4.849943094,0.0928,t2.large
6.349264921,0.0832,B2ms
9.58328406,0.095,N1s2
9.530010563,0.015,Lin.G
4.90063871,0.1,c4.large
5.880532567,0.085,F2s
10,0.0709,N1cc
9.248673337,0.045,Lin.C
8.404395256,0.133,r4.large
6.835846636,0.126,E2s
9.717599177,0.1184,N1M2
8.631304242,0.09,Lin.M
4.629728946,0.085,c5.large
6.667714991,0.1,m4.large
5.833708175,0.0464,t2.medium
6.404520615,0.023,t2.small
1,0.0752,t3a.large
1.332977005,0.0376,t3a.medium
2.987918657,0.0188,t3a.small
5.202310958,0.0208,t3.small
5.079015213,0.0928,t2.large
6.799868028,0.0832,B2ms
9.65769587,0.095,N1s2
9.868452922,0.015,Lin.G
4.806819915,0.1,c4.large
6.211273757,0.085,F2s
10,0.0709,N1cc
9.788581149,0.045,Lin.C
8.282487478,0.133,r4.large
6.925799522,0.126,E2s
9.781761009,0.1184,N1M2
9.345953112,0.09,Lin.M
4.252010874,0.085,c5.large
6.735482696,0.1,m4.large
6.021826602,0.0464,t2.medium
6.554137866,0.023,t2.small
1,0.0752,t3a.large
1.817329873,0.0376,t3a.medium
4.714804056,0.0188,t3a.small
4.992600128,0.0208,t3.small
5.182637321,0.0928,t2.large
7.151884886,0.0832,B2ms
8.787377395,0.095,N1s2
9.610415769,0.015,Lin.G
4.215245072,0.1,c4.large
6.386523205,0.085,F2s
8.946813857,0.0709,N1cc
10,0.045,Lin.C
7.111714933,0.133,r4.large
6.473121589,0.126,E2s
8.8784344,0.1184,N1M2
9.978002834,0.09,Lin.M
3.066504537,0.085,c5.large
6.205011743,0.1,m4.large
5.870718408,0.0464,t2.medium
6.250180952,0.023,t2.small
1,0.0752,t3a.large
3.209439005,0.0376,t3a.medium
8.761353233,0.0188,t3a.small
4.109515951,0.0208,t3.small
5.173884449,0.0928,t2.large
6.789630852,0.0832,B2ms
9.341522695,0.095,N1s2
9.882167227,0.015,Lin.G
4.555014862,0.1,c4.large
6.304157208,0.085,F2s
9.608029722,0.0709,N1cc
10,0.045,Lin.C
7.803558526,0.133,r4.large
6.675076192,0.126,E2s
9.448473703,0.1184,N1M2
9.735400076,0.09,Lin.M
3.786307339,0.085,c5.large
6.524027331,0.1,m4.large
5.977130448,0.0464,t2.medium
6.448860617,0.023,t2.small
1,0.0752,t3a.large
2.422992365,0.0376,t3a.medium
6.454099818,0.0188,t3a.small
4.662013414,0.0208,t3.small
5.185775747,0.0928,t2.large
7.056575923,0.0832,B2ms
9.267188536,0.095,N1s2
9.819893743,0.015,Lin.G
4.514548229,0.1,c4.large
6.368066483,0.085,F2s
9.508605185,0.0709,N1cc
10,0.045,Lin.C
7.712413772,0.133,r4.large
6.733015264,0.126,E2s
9.369137207,0.1184,N1M2
9.794310714,0.09,Lin.M
3.629938906,0.085,c5.large
6.508791987,0.1,m4.large
5.998699067,0.0464,t2.medium
6.450879055,0.023,t2.small
1,0.0752,t3a.large
2.576511703,0.0376,t3a.medium
6.940714898,0.0188,t3a.small
4.544784309,0.0208,t3.small
5.173884449,0.0928,t2.large
6.789630852,0.0832,B2ms
9.341522695,0.095,N1s2
9.882167227,0.015,Lin.G
4.555014862,0.1,c4.large
6.304157208,0.085,F2s
9.608029722,0.0709,N1cc
10,0.045,Lin.C
7.803558526,0.133,r4.large
6.675076192,0.126,E2s
9.448473703,0.1184,N1M2
9.735400076,0.09,Lin.M
3.786307339,0.085,c5.large
6.524027331,0.1,m4.large
5.977130448,0.0464,t2.medium
6.448860617,0.023,t2.small
1,0.0752,t3a.large
2.422992365,0.0376,t3a.medium
6.454099818,0.0188,t3a.small
4.662013414,0.0208,t3.small
4.748223548,0.0928,t2.large
6.380047443,0.0832,B2ms
9.52590934,0.095,N1s2
9.329194602,0.015,Lin.G
4.985438887,0.1,c4.large
5.861235914,0.085,F2s
10,0.0709,N1cc
8.983135393,0.045,Lin.C
8.43685671,0.133,r4.large
6.860689649,0.126,E2s
9.663493418,0.1184,N1M2
8.315040576,0.09,Lin.M
4.747295756,0.085,c5.large
6.636817945,0.1,m4.large
5.811386735,0.0464,t2.medium
6.453077139,0.023,t2.small
1,0.0752,t3a.large
1.192107155,0.0376,t3a.medium
2.469380921,0.0188,t3a.small
5.286665929,0.0208,t3.small
4.785945098,0.0928,t2.large
5.946002724,0.0832,B2ms
9.550580364,0.095,N1s2
9.484352151,0.015,Lin.G
4.908397926,0.1,c4.large
5.747708724,0.085,F2s
10,0.0709,N1cc
9.128713411,0.045,Lin.C
8.409334354,0.133,r4.large
6.682752269,0.126,E2s
9.6886858,0.1184,N1M2
8.445491383,0.09,Lin.M
4.782054407,0.085,c5.large
6.604378928,0.1,m4.large
5.745887572,0.0464,t2.medium
6.342027861,0.023,t2.small
1,0.0752,t3a.large
1.168632823,0.0376,t3a.medium
2.393656015,0.0188,t3a.small
5.30131856,0.0208,t3.small
4.790069253,0.0928,t2.large
5.901274556,0.0832,B2ms
9.553363076,0.095,N1s2
9.50137029,0.015,Lin.G
4.899917342,0.1,c4.large
5.736298314,0.085,F2s
10,0.0709,N1cc
9.145178882,0.045,Lin.C
8.406180591,0.133,r4.large
6.66414436,0.126,E2s
9.691603087,0.1184,N1M2
8.4606813,0.09,Lin.M
4.784594306,0.085,c5.large
6.6009548,0.1,m4.large
5.739195325,0.0464,t2.medium
6.330500698,0.023,t2.small
1,0.0752,t3a.large
1.166453811,0.0376,t3a.medium
2.389156046,0.0188,t3a.small
5.302146391,0.0208,t3.small
4.782939842,0.0928,t2.large
5.985524391,0.0832,B2ms
9.548763252,0.095,N1s2
9.472066448,0.015,Lin.G
