a2cloud_score,Cost(per hour USD),Instance
6.560350189,0.0928,t2.large
8.167522777,0.0832,B2ms
7.933549051,0.095,N1s2
7.03280786,0.015,Lin.G
4.649493126,0.1,c4.large
8.158893963,0.085,F2s
8.719662622,0.0709,N1cc
10,0.045,Lin.C
7.623356416,0.133,r4.large
7.739838672,0.126,E2s
9.918277558,0.1184,N1M2
9.621931927,0.09,Lin.M
1.183981137,0.085,c5.large
1.468860752,0.1,m4.large
1.554808883,0.0464,t2.medium
1.868994985,0.023,t2.small
1,0.0752,t3a.large
2.023441474,0.0376,t3a.medium
2.341639615,0.0188,t3a.small
2.621989214,0.0208,t3.small
