a2cloud_score,Cost(per hour USD),Instance
3.607712869,0.0928,t2.large
5.031695247,0.0832,B2ms
4.901853349,0.095,N1s2
6.049014872,0.015,Lin.G
2.345943859,0.1,c4.large
4.428587876,0.085,F2s
4.81817976,0.0709,N1cc
6.765124814,0.045,Lin.C
3.547326646,0.133,r4.large
3.856506331,0.126,E2s
4.956169715,0.1184,N1M2
7.141438026,0.09,Lin.M
1.021092112,0.085,c5.large
3.599592127,0.1,m4.large
3.770259088,0.0464,t2.medium
3.856038743,0.023,t2.small
1,0.0752,t3a.large
3.710969632,0.0376,t3a.medium
10,0.0188,t3a.small
1.978557898,0.0208,t3.small
3.762290524,0.0928,t2.large
5.21321015,0.0832,B2ms
5.237552069,0.095,N1s2
6.372377009,0.015,Lin.G
2.514525682,0.1,c4.large
4.611219265,0.085,F2s
5.176853394,0.0709,N1cc
7.064559369,0.045,Lin.C
3.847292622,0.133,r4.large
4.084211059,0.126,E2s
5.294027334,0.1184,N1M2
7.407602151,0.09,Lin.M
1.201322935,0.085,c5.large
3.825942219,0.1,m4.large
3.959495488,0.0464,t2.medium
4.0693852,0.023,t2.small
1,0.0752,t3a.large
3.733233125,0.0376,t3a.medium
10,0.0188,t3a.small
2.170602475,0.0208,t3.small
1.699366861,0.0928,t2.large
10,0.0832,B2ms
3.293548695,0.095,N1s2
1,0.015,Lin.G
3.035925554,0.1,c4.large
3.332253894,0.085,F2s
3.32512349,0.0709,N1cc
1.109619978,0.045,Lin.C
3.899127385,0.133,r4.large
6.139814794,0.126,E2s
3.307907755,0.1184,N1M2
1.182554081,0.09,Lin.M
1.417683619,0.085,c5.large
3.623483616,0.1,m4.large
3.200182366,0.0464,t2.medium
3.236511666,0.023,t2.small
1.250689889,0.0752,t3a.large
1.512343849,0.0376,t3a.medium
2.278775871,0.0188,t3a.small
1.54643908,0.0208,t3.small
3.570066962,0.0928,t2.large
4.960292772,0.0832,B2ms
4.245740835,0.095,N1s2
5.361599816,0.015,Lin.G
2.415743973,0.1,c4.large
4.366837529,0.085,F2s
3.975032774,0.0709,N1cc
6.199706594,0.045,Lin.C
3.12920026,0.133,r4.large
3.582035959,0.126,E2s
4.386754623,0.1184,N1M2
6.719617195,0.09,Lin.M
1,0.085,c5.large
3.393391377,0.1,m4.large
3.700638793,0.0464,t2.medium
3.697601318,0.023,t2.small
2.391436145,0.0752,t3a.large
3.555448684,0.0376,t3a.medium
10,0.0188,t3a.small
1.884216,0.0208,t3.small
